id,raw_text,status,source,date
1,"The app crashes when I click submit button",raw,slack,2024-01-15
2,"It would be nice to have dark mode",raw,email,2024-01-15
3,"I can't find the search bar anywhere",raw,intercom,2024-01-15
4,"Great job on the new update!",raw,slack,2024-01-15
5,"The submit button doesn't work properly",raw,email,2024-01-15
6,"Can you add a way to export my data?",raw,intercom,2024-01-15
7,"The search function is too slow",raw,slack,2024-01-15
8,"I love the new interface design",raw,email,2024-01-15
9,"The app is unusable, I'm switching tools",raw,intercom,2024-01-15
10,"Could you add keyboard shortcuts?",raw,slack,2024-01-15
11,"Notifications are not working on mobile",raw,email,2024-01-16
12,"I keep getting logged out unexpectedly",raw,intercom,2024-01-16
13,"The onboarding process is confusing",raw,slack,2024-01-16
14,"Can you integrate with Google Drive?",raw,email,2024-01-16
15,"The dashboard takes too long to load",raw,intercom,2024-01-16
16,"I wish there was a calendar view",raw,slack,2024-01-16
17,"The font size is too small on my laptop",raw,email,2024-01-16
18,"Export to PDF would be super helpful",raw,intercom,2024-01-16
19,"I can't reset my password",raw,slack,2024-01-16
20,"The app doesn't remember my preferences",raw,email,2024-01-16
21,"Love the new analytics feature!",raw,intercom,2024-01-16
22,"The UI feels cluttered on small screens",raw,slack,2024-01-16
23,"I get too many email notifications",raw,email,2024-01-16
24,"The search results are not relevant",raw,intercom,2024-01-16
25,"Can you add SSO support?",raw,slack,2024-01-16
26,"The app is very slow during peak hours",raw,email,2024-01-16
27,"I can't upload large files",raw,intercom,2024-01-16
28,"The color scheme is hard to read",raw,slack,2024-01-16
29,"I want to be able to duplicate projects",raw,email,2024-01-16
30,"The mobile app crashes on launch",raw,intercom,2024-01-16
31,"The pricing page is unclear",raw,slack,2024-01-16
32,"I need more integrations (Zapier, etc.)",raw,email,2024-01-16
33,"The app logs me out after 5 minutes",raw,intercom,2024-01-16
34,"I can't invite team members",raw,slack,2024-01-16
35,"The help docs are outdated",raw,email,2024-01-16
36,"I want to customize my dashboard",raw,intercom,2024-01-16
37,"The app doesn't support 2FA",raw,slack,2024-01-16
38,"I can't change my email address",raw,email,2024-01-16
39,"The sidebar is too wide",raw,intercom,2024-01-16
40,"I love the new dark mode!",raw,slack,2024-01-16
41,"The app is not accessible for screen readers",raw,email,2024-01-16
